team_side,team_name,formation,player_id,player_name,full_name,position,jersey_number,is_starter,is_captain,country,substitute_in,substitute_out,rating,minutes_played,goals,assists,total_passes,accurate_passes,key_passes,total_crosses,accurate_crosses,total_long_balls,accurate_long_balls,big_chances_created,big_chances_missed,xg,xa,touches,possession_lost,dispossessed,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,tackles,interceptions,clearances,duels_won,duels_lost,aerial_duels_won,aerial_duels_lost,was_fouled,fouls,offsides,saves,goals_prevented,yellow_cards,red_cards
home,Acassuso,4-2-3-1,992101,M. Monllor,Mariano Monllor,G,1,True,False,Argentina,,,7.0,90.0,0.0,0.0,16.0,14.0,,0.0,0.0,6.0,4.0,,,0.0,0.0,26.0,2.0,,0.0,,,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
home,Acassuso,4-2-3-1,1465284,J. C. Ponce,Juan Cruz Ponce,D,4,True,False,Argentina,,,6.6,90.0,0.0,0.0,33.0,24.0,,2.0,0.0,4.0,2.0,,,0.0,0.0,45.0,13.0,,0.0,,,5.0,4.0,0.0,1.0,0.0,9.0,10.0,0.0,4.0,2.0,2.0,0.0,,,,
home,Acassuso,4-2-3-1,1214751,L. Pioli,Lucas Pioli,D,2,True,False,Argentina,,,7.1,90.0,0.0,0.0,30.0,23.0,,0.0,0.0,6.0,2.0,,,0.0,0.0,34.0,8.0,,0.0,,,0.0,0.0,1.0,,1.0,3.0,7.0,3.0,4.0,0.0,0.0,0.0,,,,
home,Acassuso,4-2-3-1,1182422,J. Ghirardello,Joel Ghirardello,D,6,True,False,Argentina,,,6.7,90.0,0.0,0.0,24.0,16.0,,0.0,0.0,6.0,3.0,,,0.0,0.0,28.0,10.0,,0.0,,,0.0,0.0,0.0,,0.0,2.0,5.0,1.0,2.0,0.0,1.0,0.0,,,,
home,Acassuso,4-2-3-1,2465610,Á. Ruiz,Álex Ruiz,D,3,True,False,Argentina,,,7.7,90.0,0.0,1.0,36.0,26.0,2.0,1.0,1.0,8.0,5.0,1.0,,0.13,0.45,46.0,10.0,,1.0,1.0,,2.0,2.0,0.0,1.0,0.0,6.0,8.0,1.0,1.0,0.0,1.0,0.0,,,,
home,Acassuso,4-2-3-1,2022732,J. Cancio,Joaquin Cancio,M,5,True,False,,,,6.4,90.0,0.0,0.0,27.0,20.0,,0.0,0.0,4.0,1.0,,,0.0,0.0,33.0,8.0,,0.0,,,0.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,6.0,1.0,3.0,0.0,,,,
home,Acassuso,4-2-3-1,896911,K. Dubini,Kevin Dubini,M,8,True,False,Argentina,,82.0,6.9,88.0,0.0,0.0,31.0,27.0,,2.0,1.0,3.0,3.0,,,0.0,0.0,40.0,8.0,2.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0,1.0,1.0,1.0,,,,
home,Acassuso,4-2-3-1,1468849,R. Reynoso,Ramiro Reynoso,M,7,True,False,Argentina,,67.0,6.2,73.0,0.0,0.0,14.0,7.0,,1.0,1.0,1.0,1.0,,1.0,0.43,0.0,24.0,9.0,,1.0,,,0.0,0.0,0.0,,0.0,1.0,13.0,0.0,4.0,0.0,0.0,0.0,,,,
home,Acassuso,4-2-3-1,2469038,F. J. Senn,Felipe José Senn,M,11,True,False,Argentina,,81.0,6.3,86.0,0.0,0.0,12.0,7.0,1.0,0.0,0.0,1.0,1.0,,,0.0,0.02,25.0,10.0,5.0,0.0,,,1.0,0.0,0.0,,0.0,3.0,12.0,0.0,2.0,2.0,0.0,0.0,,,,
home,Acassuso,4-2-3-1,1214755,A. Hermoso,Agustín Hermoso,M,10,True,False,Argentina,,81.0,6.7,86.0,0.0,0.0,20.0,17.0,,0.0,0.0,3.0,3.0,,,0.0,0.0,29.0,10.0,1.0,0.0,,,2.0,1.0,0.0,,0.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,,,,
