minute,value
1.0,10
2.0,27
3.0,28
4.0,23
5.0,16
6.0,-9
7.0,-35
8.0,-20
9.0,-7
10.0,-3
11.0,6
12.0,8
13.0,26
14.0,21
15.0,18
16.0,16
17.0,10
18.0,6
19.0,4
20.0,3
21.0,2
22.0,2
23.0,2
24.0,2
25.0,7
26.0,6
27.0,9
28.0,11
29.0,2
30.0,6
31.0,-6
32.0,-3
33.0,-3
34.0,5
35.0,6
36.0,14
37.0,100
38.0,97
39.0,53
40.0,31
41.0,18
42.0,-1
43.0,-1
44.0,1
45.0,1
45.5,15
46.0,-1
47.0,-26
48.0,80
49.0,14
50.0,3
51.0,-6
52.0,-1
53.0,-12
54.0,-6
55.0,5
56.0,-31
57.0,-28
58.0,30
59.0,-31
60.0,-4
61.0,-1
62.0,1
63.0,-3
64.0,26
65.0,20
66.0,6
67.0,4
68.0,-46
69.0,-18
70.0,-42
71.0,-25
72.0,-16
73.0,-43
74.0,-32
75.0,29
76.0,12
77.0,2
78.0,-51
79.0,-29
80.0,55
81.0,20
82.0,22
83.0,16
84.0,19
85.0,32
86.0,24
87.0,-20
